,Country,year,GWP_Imports,GWP_Exports,Employment_pba,GWP_pba,ValueAdded_pba
26,SK,1999,17525210583.2,11095791597.2,2246.5,43294192835.0,19533.1183316
27,GB,1999,325781453412.0,133477154962.0,28076.3,545225204226.0,1578431.09498
28,US,1999,1364948384640.0,512285546280.0,135189.5,4799533193320.0,9036088.38431
29,JP,1999,487549430849.0,166385566828.0,67333.0,1035338042090.0,4280426.55478
30,CN,1999,218283984742.0,756034840638.0,560603.7,4185885622610.0,1026462.90819
31,CA,1999,144800155160.0,223583592601.0,12976.395,551995144348.0,636521.361779
32,KR,1999,141317955669.0,97044066992.4,20001.6561503,372484758554.0,466798.700124
33,BR,1999,78388551531.4,67133506706.7,72346.6,686393704745.0,557394.807664
34,IN,1999,130408976819.0,155374558305.0,340595.8,1505577927150.0,433281.243377
35,MX,1999,105218699811.0,71664161356.5,36711.8,400799044864.0,563176.047102
36,RU,1999,93415133736.2,886564635387.0,58457.9,1621640690350.0,185121.859909
37,AU,1999,108023901769.0,164890446909.0,8571.1,505150542810.0,400232.645717
38,CH,1999,80093632669.5,16842698367.2,3676.9,43285802390.2,280098.914801
39,TR,1999,81122902209.4,39007547240.4,20952.4,243190603828.0,240566.695437
40,TW,1999,132969849347.0,85321821663.0,9170.8,185391644024.0,278755.589087
41,NO,1999,37028543123.1,40800056220.1,2332.1,81104733240.2,152265.954805
42,ID,1999,73772058787.7,135948185319.0,87672.1,439434494303.0,153664.560671
43,ZA,1999,22420901125.8,119093725551.0,12750.7,331382311549.0,130188.107935
44,WA,1999,553124787958.0,809602675224.0,366697.0,1707382994670.0,831881.522716
45,WL,1999,219838967248.0,292258275438.0,92383.0,906425511765.0,863817.625758
46,WE,1999,54838550316.2,177149091229.0,148994.0,519715215771.0,85391.1718666
47,WF,1999,130791168060.0,375894466454.0,245646.0,1200173041430.0,383498.124711
48,WM,1999,244091540179.0,499400735636.0,20668.2,1234067817830.0,674193.721402
0,AT,2000,49317638513.3,17911522924.6,3689.77,57218582600.6,213078.852087
1,BE,2000,78683222612.2,68209570745.7,4033.09999994,108580406868.0,255743.126398
2,BG,2000,8633851396.89,15343113445.1,2819.5,53355407197.8,14341.7060349
3,CY,2000,16353956756.7,3740149765.91,278.583101533,8156427403.22,10786.9911667
4,CZ,2000,34241441778.5,33914762683.5,4899.702,114894514707.0,66937.521099
5,DE,2000,423544129023.0,194570422804.0,39031.0,776737854448.0,2103880.35114
6,DK,2000,44645809315.5,26779002851.4,2813.3,68575801465.3,177737.01114
7,EE,2000,5901487458.55,5523380962.49,557.5,17216684556.8,6169.66662925
8,ES,2000,170332886395.0,78105543246.7,15004.3999998,290229767781.0,646250.747652
9,FI,2000,46718561605.7,22582560624.0,2412.7,66371621180.7,136104.975544
10,FR,2000,298105267323.0,114674605727.0,25033.0,378375861401.0,1474932.75725
11,GR,2000,55722420350.7,33049372809.6,4098.49999849,174859547160.0,142614.994475
12,HR,2000,13156726456.0,7012279140.38,1508.2,19754609675.2,23461.722973
13,HU,2000,50127840901.8,18695671530.9,3855.1,57757192710.1,51124.3086512
14,IE,2000,33884050030.6,34884523503.4,1576.6,56311000248.7,108132.461354
15,IT,2000,305232344028.0,96507925563.2,21209.5,398374513654.0,1238446.24743
16,LT,2000,12144994044.5,4609630991.02,1539.0,21547930627.7,12478.3186366
17,LU,2000,6421600424.19,3960014135.47,169.299958044,5297897785.89,23022.4106841
18,LV,2000,9907852468.45,3154792136.26,1016.1,11154385745.8,8607.09610379
19,MT,2000,3463766108.53,1124015345.41,148.209999559,2659943631.34,4388.63214096
20,NL,2000,141843922678.0,95324029681.5,7496.3019457,183568820458.0,450890.500584
21,PL,2000,87818111499.2,75185723078.0,14866.6934791,350408767290.0,186466.491757
22,PT,2000,39513042678.4,13454258029.6,4962.6,67447668859.8,128097.249353
23,RO,2000,16617901879.5,27554902653.2,10993.5957392,96813755222.2,40535.956308
24,SE,2000,74085486429.4,23800832497.8,4205.6,61510001810.9,284575.776707
25,SI,2000,11208758702.0,4919209606.74,912.7,14079792195.2,21969.6983719
26,SK,2000,30387648485.5,10786759289.6,2215.1,41156385808.9,22433.310863
27,GB,2000,348615505872.0,148570043451.0,27910.8772918,533050507875.0,1795275.02779
28,US,2000,1526233412760.0,502084947613.0,137353.1,4803631996860.0,11100419.0126
29,JP,2000,552048521567.0,175329068071.0,66789.9999967,1058656363460.0,5291814.35289
30,CN,2000,266880856448.0,802904062194.0,563268.6,4113395368660.0,1311532.21451
31,CA,2000,131656389689.0,222261788614.0,14740.915,552435822081.0,806381.320702
32,KR,2000,175748474264.0,110530567934.0,20307.8999982,398908205986.0,623840.827003
33,BR,2000,87764057440.8,67262721843.6,74079.5,703950082107.0,706323.183786
34,IN,2000,101717416888.0,194092362405.0,354791.133614,1554598069160.0,515534.901372
35,MX,2000,124576315075.0,71321728463.1,37125.0,393354823811.0,766468.020812
36,RU,2000,116735869567.0,911678306313.0,62938.1,1624882166500.0,283203.926166
37,AU,2000,98847460305.3,186876926128.0,8719.59999851,521482217212.0,442588.77005
38,CH,2000,79892267587.3,18377780545.0,3309.9,44669606461.3,302981.928818
39,TR,2000,84816354522.9,39457030356.6,21476.6,243646331769.0,296984.454876
40,TW,2000,154527363451.0,89363310530.0,8684.2,188491278747.0,351621.867792
41,NO,2000,40361916256.4,51274280259.7,2347.8,85394830842.6,185411.780651
42,ID,2000,68585417382.2,151609822052.0,88672.9,453171947050.0,190236.280209
43,ZA,2000,25632642128.7,131076325583.0,12531.4999994,314728504844.0,149887.117965
44,WA,2000,557883981208.0,890169134323.0,367642.0,1752760004800.0,992175.231566
45,WL,2000,214852171213.0,296721770533.0,93344.6369119,898504283552.0,1031218.99346
46,WE,2000,65087168605.1,190804906983.0,148838.0,494011496253.0,94508.9783583
47,WF,2000,123126262374.0,417411900860.0,252473.0,1212634001670.0,456768.004453
48,WM,2000,267247832724.0,576295015847.0,20901.1500862,1278158669460.0,870837.417737
0,AT,2001,51133315727.0,18183967146.4,3525.48,56519161792.9,220339.563782
1,BE,2001,83402645449.7,66560088330.4,4113.7,108189288218.0,264112.528872
2,BG,2001,8521569253.53,14786264524.0,2597.4,53344868605.1,15836.8125887
3,CY,2001,15390008565.3,3561380037.11,291.5,8648140244.18,11601.391678
4,CZ,2001,33859446435.5,37486081824.9,4859.22828201,126141899796.0,75713.1482511
5,DE,2001,405883934146.0,198705719621.0,39917.0,768024708437.0,2170712.35571
6,DK,2001,43687699759.2,26640060208.2,2814.49383721,65347792979.7,184000.747936
7,EE,2001,6717158134.93,6405965675.08,594.6,17349703701.8,6989.19698166
8,ES,2001,174655511737.0,81995866151.6,15847.6,305382708311.0,700403.291247
9,FI,2001,45513031222.3,22590647933.8,2450.99996624,66819108591.8,144506.332027
10,FR,2001,300784457358.0,110262650744.0,25672.0,364667064531.0,1536905.99278
11,GR,2001,56241497546.3,37646740489.0,4149.7,184052846270.0,152065.804783
12,HR,2001,13287363909.9,6921651184.18,1611.0,19536616638.6,25881.7340454
13,HU,2001,48255898083.7,16689120203.0,3812.88546144,53939314650.9,60015.0960843
14,IE,2001,36868763519.9,32908423531.7,1655.8822262,57277399738.8,121907.259451
